Sample	SampleSubject	SampleBodySite	Taxa	Estimated_Reads
LKMB002-1-46_S50	S007	Rarely_Moist_Vf	Staphylococcus	124712
LKMB002-1-46_S50	S007	Rarely_Moist_Vf	Other	1449989
LKMB002-1-31_S35	S004	Rarely_Moist_Af	Cutibacterium	1381382
LKMB002-1-31_S35	S004	Rarely_Moist_Af	Corynebacterium	139440
LKMB002-1-31_S35	S004	Rarely_Moist_Af	Micrococcus	56278
LKMB002-1-31_S35	S004	Rarely_Moist_Af	Staphylococcus	75803
LKMB002-1-31_S35	S004	Rarely_Moist_Af	Other	2542640
LKMB002-1-04_S8	S001	Sebaceous_Ba	Cutibacterium	19053812
LKMB002-1-04_S8	S001	Sebaceous_Ba	Corynebacterium	37954
LKMB002-1-04_S8	S001	Sebaceous_Ba	Micrococcus	179367
LKMB002-1-04_S8	S001	Sebaceous_Ba	Staphylococcus	53716
LKMB002-1-04_S8	S001	Sebaceous_Ba	Other	507665
LKMB002-2-027_S118	S014	Moist_Tw	Cutibacterium	27519
LKMB002-2-027_S118	S014	Moist_Tw	Corynebacterium	9802
LKMB002-2-027_S118	S014	Moist_Tw	Micrococcus	7588
LKMB002-2-027_S118	S014	Moist_Tw	Staphylococcus	135683
LKMB002-2-027_S118	S014	Moist_Tw	Other	76097
LKMB002-1-43_S47	S007	Moist_Na	Cutibacterium	273474
LKMB002-1-43_S47	S007	Moist_Na	Corynebacterium	2334355
LKMB002-1-43_S47	S007	Moist_Na	Micrococcus	2049
LKMB002-1-43_S47	S007	Moist_Na	Staphylococcus	33585
LKMB002-1-43_S47	S007	Moist_Na	Other	2953164
LKMB002-1-73_S72	S011	Moist_Um	Cutibacterium	49960
LKMB002-1-73_S72	S011	Moist_Um	Corynebacterium	8596809
LKMB002-1-73_S72	S011	Moist_Um	Micrococcus	19015
LKMB002-1-73_S72	S011	Moist_Um	Staphylococcus	475896
LKMB002-1-73_S72	S011	Moist_Um	Other	8027152
LKMB002-1-40_S44	S005	Moist_Um	Cutibacterium	2736435
LKMB002-1-40_S44	S005	Moist_Um	Corynebacterium	1561046
