Strain ID	Other ID	Genome accession	Host ID	Host category	Body site
LK799	p3-SID1041	NA	KHID118	Healthy Skin	Umbilicus
LK800	p3-SID1037	NA	KHID118	Healthy Skin	Umbilicus
LK801	p3-SID958	NA	KHID89	Healthy Skin	Alar crease
LK802	p3-SID1162	NA	KHID93	Healthy Skin	Volar forearm
LK803	p3-SID999	NA	KHID116	Healthy Skin	Volar forearm
LK804	p3-SID1190	NA	KHID117	Healthy Skin	Antecubital fossa
LK805	p3-SID1157	NA	KHID84	Healthy Skin	Back
LK806	p3-SID1000	NA	KHID116	Healthy Skin	Volar forearm
LK807	p3-SID1033	NA	KHID118	Healthy Skin	Umbilicus
LK808	p3-SID1029	NA	KHID118	Healthy Skin	Umbilicus
LK809	p3-SID956	NA	KHID90	Healthy Skin	Nares
LK810	p3-SID1164	NA	KHID93	Healthy Skin	Volar forearm
LK811	p3-SID951	NA	KHID94	Healthy Skin	Antecubital fossa
LK812	p3-SID1185	NA	KHID91	Healthy Skin	Occiput
LK813	p3-SID1169	NA	KHID86	Healthy Skin	Antecubital fossa
LK814	p3-SID1166	NA	KHID93	Healthy Skin	Volar forearm
LK815	p3-SID1067	NA	KHID119	Healthy Skin	Toe web space
LK816	p3-SID1196	NA	KHID92	Healthy Skin	Back
LK817	p3-SID954	NA	KHID90	Healthy Skin	Nares
LK818	p3-SID959	NA	KHID89	Healthy Skin	Alar crease
LK819	p3-SID1165	NA	KHID93	Healthy Skin	Volar forearm
LK824	p3-SID1330	NA	KHID81	Healthy Skin	Alar crease
LK825	p3-SID1511	NA	KHID140	Healthy Skin	Volar forearm
LK833	p3-SID1211	NA	KHID112	Healthy Skin	Alar crease
LK842	p3-SID1144	NA	KHID92	Healthy Skin	Back
LK846	p3-SID1202	NA	KHID110	Healthy Skin	Umbilicus
LK848	p3-SID1115	NA	KHID107	Healthy Skin	Back
LK851	p3-SID952	NA	KHID94	Healthy Skin	Antecubital fossa
LK852	p3-SID1161	NA	KHID93	Healthy Skin	Volar forearm
LK859	p3-SID1191	NA	KHID117	Healthy Skin	Antecubital fossa
LK865	p3-SID1319	NA	KHID108	Healthy Skin	Volar forearm
LK867	p3-SID1257	NA	KHID103	Healthy Skin	Toe web space
LK868	p3-SID1293	NA	KHID117	Healthy Skin	Antecubital fossa
LK878	p3-SID1147	NA	KHID89	Healthy Skin	Alar crease
LK879	p3-SID1309	NA	KHID108	Healthy Skin	Volar forearm
LK880	p3-SID1153	NA	KHID89	Healthy Skin	Alar crease
LK881	p3-SID1150	NA	KHID89	Healthy Skin	Alar crease
LK882	p3-SID1292	NA	KHID117	Healthy Skin	Antecubital fossa
LK883	p3-SID1285	NA	KHID97	Healthy Skin	Nares
LK884	p3-SID1282	NA	KHID91	Healthy Skin	Occiput
LK885	p3-SID1253	NA	KHID103	Healthy Skin	Toe web space
LK886	p3-SID1125	NA	KHID106	Healthy Skin	Occiput
LK887	p3-SID1286	NA	KHID97	Healthy Skin	Nares
LK888	p3-SID1281	NA	KHID91	Healthy Skin	Occiput
LK895	p3-SID1154	NA	KHID89	Healthy Skin	Alar crease
LK896	p3-SID1262	NA	KHID88	Healthy Skin	Toe web space
LK898	p3-SID1251	NA	KHID103	Healthy Skin	Toe web space
LK899	p3-SID1321	NA	KHID108	Healthy Skin	Volar forearm
LK901	p3-SID1308	NA	KHID108	Healthy Skin	Volar forearm
LK902	p3-SID1264	NA	KHID102	Healthy Skin	Umbilicus
LK906	p3-SID1234	NA	KHID111	Healthy Skin	Toe web space
LK907	p3-SID1267	NA	KHID88	Healthy Skin	Toe web space
LK908	p3-SID1247	NA	KHID112	Healthy Skin	Alar crease
LK909	p3-SID1307	NA	KHID108	Healthy Skin	Volar forearm
LK910	p3-SID869	NA	KHID70	Healthy Skin	Volar forearm
LK913	p3-SID1254	NA	KHID103	Healthy Skin	Toe web space
LK914	p3-SID1350	NA	KHID144	Healthy Skin	Alar crease
LK915	p3-SID1312	NA	KHID108	Healthy Skin	Volar forearm
LK916	p3-SID1313	NA	KHID108	Healthy Skin	Volar forearm
LK917	p3-SID1249	NA	KHID112	Healthy Skin	Alar crease
LK918	p3-SID1198	NA	KHID111	Healthy Skin	Toe web space
LK919	p3-SID1238	NA	KHID104	Healthy Skin	Alar crease
LK920	p3-SID1131	NA	KHID105	Healthy Skin	Nares
LK921	p3-SID1138b	NA	KHID110	Healthy Skin	Umbilicus
LK922	p3-SID1298	NA	KHID117	Healthy Skin	Antecubital fossa
LK923	p3-SID1138a	NA	KHID110	Healthy Skin	Umbilicus
LK924	p3-SID1259	NA	KHID88	Healthy Skin	Toe web space
LK925	p3-SID1291	NA	KHID117	Healthy Skin	Antecubital fossa
LK926	p3-SID1245	NA	KHID112	Healthy Skin	Alar crease
LK927	p3-SID1284	NA	KHID97	Healthy Skin	Nares
