dataset	genus	rel_abun	prevalence
Kraken	Commensalibacter	1.723457902456624e-5	0
Kraken	Companilactobacillus	6.930901644902798e-4	4
Kraken	Conchiformibius	0.001487403	10
Kraken	Conexibacter	0.007407316	53
Kraken	Congregibacter	2.4259846115790823e-4	1
Kraken	Coprobacter	9.350210833987463e-5	0
Kraken	Coprococcus	0.002646447	14
Kraken	Coprothermobacter	2.1062958228338903e-6	0
Kraken	Coraliomargarita	1.442611624150586e-4	0
Kraken	Corallococcus	0.003676364	19
Kraken	Coriobacterium	5.975153500792077e-5	0
Kraken	Corynebacterium	18.991940501252582	268
Kraken	Coxiella	9.692021267853821e-4	2
Kraken	Crassaminicella	5.789228409665938e-4	3
Kraken	Crateriforma	9.374507645415108e-5	0
Kraken	Crenobacter	4.565554796816744e-4	1
Kraken	Crinalium	0.001282802	2
Kraken	Croceibacter	5.635907836327043e-5	0
Kraken	Croceibacterium	4.28978925972148e-4	1
Kraken	Croceicoccus	0.003380446	28
Kraken	Crocinitomix	6.823638921486196e-5	0
Kraken	Crocosphaera	6.712257259373793e-5	0
Kraken	Cronobacter	0.001025307	2
Kraken	Cruoricaptor	0.16363230626444214	34
Kraken	Cryobacterium	0.003455397	17
Kraken	Cryptobacterium	7.670759299676638e-5	0
Kraken	Cupriavidus	0.005005781	35
Kraken	Curtobacterium	0.020098926	91
Kraken	Curvibacter	8.159642626762966e-4	5
Kraken	Cutibacterium	44.606601236712756	268
Kraken	Cyanobacterium	2.5299280037467925e-4	2
Kraken	Cyanobium	6.537701318766157e-4	0
Kraken	Cyclobacterium	2.44258510468965e-4	1
Kraken	Cycloclasticus	4.166139989707489e-4	2
Kraken	Cylindrospermopsis	1.5191624610993873e-5	0
Kraken	Cylindrospermum	2.752415460986637e-4	1
Kraken	Cystobacter	0.001610206	3
Kraken	Cytobacillus	5.613016819401842e-4	2
Kraken	Dactylococcopsis	5.9982585912075106e-5	0
Kraken	Dactylosporangium	0.002434586	16
Kraken	Dechloromonas	0.001369426	7
Kraken	Deefgea	0.001163256	6
Kraken	Deferribacter	1.9614020657948169e-4	1
Kraken	Defluviitoga	4.1195681011529884e-5	0
Kraken	Dehalobacter	4.603623052545689e-5	0
Kraken	Dehalobacterium	9.061235450139247e-5	0
Kraken	Dehalococcoides	3.195480330406944e-4	3
Kraken	Dehalogenimonas	9.956514251384079e-5	0
Kraken	Deinococcus	0.026082188323642178	94
Kraken	Delftia	0.093123239	118
Kraken	Denitratisoma	0.001030992	2
Kraken	Denitrobacterium	6.63041854988977e-5	0
Kraken	Denitrovibrio	1.5541811690378535e-5	0
Kraken	Dermabacter	0.1254620431720989	150
Kraken	Dermacoccus	0.033741693	76
Kraken	Dermatophilus	6.18505813288572e-4	0
Kraken	Desulfarculus	4.1115717318166475e-4	0
Kraken	Desulfatibacillum	5.7385639632488665e-5	0
Kraken	Desulfitobacterium	2.5408707389236587e-4	0
Kraken	Desulfobacca	1.531258248739219e-4	0
Kraken	Desulfobacter	6.431792059742391e-5	0
Kraken	Desulfobacula	2.947104320594165e-5	0
Kraken	Desulfobulbus	3.2693454879361366e-4	0
Kraken	Desulfocapsa	2.3064678284018122e-5	0
Kraken	Desulfococcus	3.401121752115981e-4	1
Kraken	Desulfocurvibacter	8.731896087611849e-5	0
Kraken	Desulfofarcimen	5.687833513098154e-4	1
Kraken	Desulfoglaeba	6.678010816371829e-5	0
Kraken	Desulfoluna	7.595306746155085e-5	0
Kraken	Desulfolutivibrio	2.2636652794689527e-4	0
Kraken	Desulfomarina	4.853141239118295e-5	0
Kraken	Desulfomicrobium	2.0355017380746854e-4	0
Kraken	Desulfonema	1.0512039237053248e-4	0
Kraken	Desulforamulus	2.982382495782897e-4	2
Kraken	Desulfosarcina	6.529421230419588e-4	2
Kraken	Desulfoscipio	9.407071826883662e-5	0
Kraken	Desulfosediminicola	1.1615550020827756e-4	0
Kraken	Desulfosporosinus	3.518688783186093e-4	1
Kraken	Desulfosudis	1.2274961405046378e-4	0
Kraken	Desulfotalea	1.4438198690427568e-4	0
Kraken	Desulfotomaculum	8.318891710874892e-5	1
Kraken	Desulfovibrio	0.001659839	4
Kraken	Desulfurispirillum	6.294914685015844e-5	0
Kraken	Desulfurivibrio	7.247732957286591e-5	0
Kraken	Desulfurobacterium	8.495111110031102e-5	1
Kraken	Desulfuromonas	7.363814784398144e-4	1
Kraken	Devosia	0.009351465	65
Kraken	Devriesea	7.474486095186085e-4	0
Kraken	Dialister	0.001510665	8
Kraken	Diaminobutyricimonas	5.847215019542469e-4	1
Kraken	Diaphorobacter	0.046632137	90
Kraken	Dichelobacter	0.00194752	4
Kraken	Dickeya	0.002938745	11
Kraken	Dictyoglomus	2.4437950584507793e-4	1
Kraken	Dietzia	0.12467530239554674	156
Kraken	Dinoroseobacter	6.147238723577274e-4	1
Kraken	Dissulfurimicrobium	2.057623724375761e-5	0
Kraken	Dissulfurispira	1.8258760353421312e-4	1
Kraken	Dokdonella	0.001080887	3
Kraken	Dokdonia	9.65953825169021e-5	0
Kraken	Dolichospermum	5.839135415655852e-4	3
Kraken	Dolosigranulum	0.7959736661077528	84
Kraken	Dongshaea	1.1137244865246165e-4	1
Kraken	Draconibacterium	2.0107811702211432e-5	0
Kraken	Duganella	0.001431778	7
Kraken	Duncaniella	6.360699006796334e-5	0
Kraken	Dyadobacter	9.396599981731933e-4	2
Kraken	Dyella	0.001837485	7
Kraken	Dysgonomonas	7.245760224403943e-5	0
Kraken	Dysosmobacter	4.2569886451481603e-4	2
Kraken	Echinicola	5.821526180045408e-5	0
Kraken	Ectothiorhodospira	1.1976033013577216e-4	0
Kraken	Edaphobacter	2.6750283758625955e-4	0
Kraken	Edwardsiella	0.001080037	5
Kraken	Effusibacillus	2.5651160560942873e-5	0
Kraken	Eggerthella	9.569159548392348e-4	0
Kraken	Egibacter	6.70655087386512e-4	1
Kraken	Egicoccus	7.386622694247122e-4	2
Kraken	Ehrlichia	3.9453223121449905e-4	1
Kraken	Eikenella	0.004239257	27
Kraken	Elioraea	8.077092773942777e-4	4
Kraken	Elizabethkingia	0.001077056	5
Kraken	Elusimicrobium	6.368299600712965e-5	1
Kraken	Empedobacter	3.572892599982079e-4	1
Kraken	Endomicrobium	3.7716440418707915e-5	0
Kraken	Endozoicomonas	3.617931274482444e-4	1
Kraken	Ensifer	0.003391296	25
Kraken	Enterobacter	0.035989618	112
Kraken	Enterocloster	6.359985061022368e-4	4
Kraken	Enterococcus	0.027215342843470318	72
Kraken	Enterovibrio	2.178826819506506e-4	1
Kraken	Entomobacter	1.6601002452059595e-5	0
Kraken	Entomomonas	4.4556393226365647e-4	3
Kraken	Entomoplasma	2.2053930097621843e-5	0
Kraken	Epidermidibacterium	0.001381974	7
Kraken	Ereboglobus	1.857883251073372e-4	0
Kraken	Erwinia	0.012386439109873785	46
Kraken	Erysipelatoclostridium	3.9971820048002724e-4	0
Kraken	Erysipelothrix	6.461780330845719e-4	3
Kraken	Erythrobacter	0.006924381	51
Kraken	Escherichia	1.6824465633259912e-4	1
Kraken	Ethanoligenens	9.203726375706621e-5	0
Kraken	Eubacterium	5.654498423684806e-4	3
Kraken	Euhalothece	1.719951766988669e-5	0
Kraken	Euzebya	7.322081736748857e-4	2
Kraken	Evansella	5.264202691595526e-5	0
Kraken	Ewingella	0.002348027	10
Kraken	Exiguobacterium	0.010321625706722019	67
Kraken	Ezakiella	0.047395076	30
Kraken	Faecalibacillus	1.7240601703945898e-4	1
Kraken	Faecalibacter	1.242445360151561e-4	1
Kraken	Faecalibacterium	0.00718436	40
Kraken	Faecalibaculum	4.945372895335635e-5	0
Kraken	Faecalicatena	2.183100279858199e-4	0
Kraken	Faecalitalea	1.2348053290240743e-4	0
Kraken	Falsihalocynthiibacter	1.1600440280868087e-4	0
Kraken	Falsirhodobacter	0.001818543	7
Kraken	Fannyhessea	0.038594748	35
Kraken	Fastidiosipila	0.001923792	8
Kraken	Ferribacterium	0.001224989	3
Kraken	Ferrigenium	1.4038892953098053e-4	0
Kraken	Ferrimonas	2.1763598638767362e-4	1
Kraken	Ferriphaselus	1.9678632603812546e-4	1
Kraken	Ferrovibrio	9.023151396790023e-4	1
Kraken	Fervidobacterium	4.335954313237462e-4	3
Kraken	Fibrella	8.519636435693053e-4	5
Kraken	Fibrobacter	3.071634855161918e-5	0
